Transfer ID,Transfer Value,Sender ID,Receiver ID,Comment,Factor,SCW new of receiver,SCW old of receiver,Topic ID
156,100,75,75, ,1,1,0,1
157,100,58,58, ,1,1,1,7
158,100,76,76, ,1,1,0,1
159,100,23,23, ,1,1,1,7
160,100,76,76, ,1,1,1,7
161,100,77,77, ,1,1,0,1
162,-5,18,76,Danke für deine Bemühungen dein Film ist super geworden ;),0.005,1,1,5
163,5,76,18,Danke für deine Bemühungen dein Film ist super geworden ;),0.005,1.025,1,5
164,100,78,78, ,1,1,0,1
165,100,79,79, ,1,1,0,1
166,100,79,79, ,1,1,1,7
167,100,73,73, ,1,1,1,7
168,-1,46,7,you suck,0.005,1,1,1
169,1,7,46,you suck,0.005,1.005,1,1
170,-5,69,11,Fuck trump blog,0.005,1,1,1
171,5,11,69,Fuck trump blog,0.005,1.025,1,1
172,100,80,80, ,1,1,0,1
173,100,80,80, ,1,1,1,7
174,100,81,81, ,1,1,0,1
175,100,82,82, ,1,1,0,1
176,100,83,83, ,1,1,0,1
177,100,84,84, ,1,1,0,1
178,100,83,83, ,1,1,1,7
179,100,85,85, ,1,1,0,1
180,100,86,86, ,1,1,0,1
181,100,86,86, ,1,1,1,7
182,100,87,87, ,1,1,0,1
183,-3,87,86,Buy yourself a social sandwich.,0.005,1,1,6
184,3,86,87,Buy yourself a social sandwich.,0.005,1.015,1,6
185,100,87,87, ,1,1,1,7
186,-5,86,87,I agree with your statements. Tips fedora^2,0.005,1,1,1
187,5,87,86,I agree with your statements. Tips fedora^2,0.005,1.025,1,1
188,-16,72,86,If you buy 10 pokéballs at once you get a primeball!,0.005,1,1,6
189,16,86,72,If you buy 10 pokéballs at once you get a primeball!,0.005,1.08,1,6
190,100,88,88, ,1,1,0,1
191,100,89,89, ,1,1,0,1
192,100,88,88, ,1,1,1,7
193,100,90,90, ,1,1,0,1
194,100,91,91, ,1,1,0,1
195,100,91,91, ,1,1,1,7
196,-10,91,91,I really like myself^^,0.005,1,1,4
197,10,91,91,I really like myself^^,0.005,1.05,1,4
198,-10,91,90,Sorry but I have to try that :),0.005,1,1,5
199,10,90,91,Sorry but I have to try that :),0.005,1.05,1,5
200,-10,90,91,Sorry for the theft^^ Just to be fair again...,0.005,1.05,1.05,5
201,10,91,90,Sorry for the theft^^ Just to be fair again...,0.005,1.0525,1,5
202,100,92,92, ,1,1,0,1
203,100,92,92, ,1,1,1,7
204,-1,92,1,test,0.005,1,1,1
205,1,1,92,test,0.005,1.005,1,1
206,-1,1,92,test,0.005,1.005,1.005,1
207,1,92,1,test,0.005,1.005025,1,1
208,100,93,93, ,1,1,0,1
209,100,74,74, ,1,1,1,7
210,100,94,94, ,1,1,0,1
211,100,94,94, ,1,1,1,7
212,-1,46,94,nice post,0.005,1,1,6
213,1,94,46,nice post,0.005,1.005,1,6
214,-66,35,50,Geiler Mann!,0.005,1,1,1
215,66,50,35,Geiler Mann!,0.005,1.33,1,1
216,-99,7,46,He is awesome,0.005,1,1,5
217,99,46,7,He is awesome,0.005,1.495,1,5
218,-99,46,7,99 Luftballoons,0.005,1,1,2
219,99,7,46,99 Luftballoons,0.005,1.495,1,2
220,-1,92,1,test2,0.005,1,1,6
221,1,1,92,test2,0.005,1.005,1,6
222,-1,1,92,tet,0.005,1.005,1.005,1
223,1,92,1,tet,0.005,1.01005,1.005025,1
224,-12,47,46,She is also awesome,0.005,1,1,4
225,12,46,47,She is also awesome,0.005,1.06,1,4
226,-99,47,7,I have to write something here,0.005,1,1,3
227,99,7,47,I have to write something here,0.005,1.495,1,3
228,-99,7,47,Very nice such wow,0.005,1,1,1
229,99,47,7,Very nice such wow,0.005,1.495,1,1
230,-12,46,47,Very responsible,0.005,1,1,5
231,12,47,46,Very responsible,0.005,1.06,1,5
232,-20,45,47,All money to the Fachschaft (since Maschinenwesen does not want to pay for the wall),0.005,1,1,6
233,20,47,45,All money to the Fachschaft (since Maschinenwesen does not want to pay for the wall),0.005,1.1,1,6
234,100,95,95, ,1,1,0,1
235,100,75,75, ,1,1,1,7
236,100,96,96, ,1,1,0,1
237,100,95,95, ,1,1,1,7
238,100,97,97, ,1,1,0,1
239,100,98,98, ,1,1,0,1
240,100,98,98, ,1,1,1,7
241,100,99,99, ,1,1,0,1
242,100,97,97, ,1,1,1,7
243,100,96,96, ,1,1,1,7
244,100,100,100, ,1,1,0,1
245,100,100,100, ,1,1,1,7
246,100,101,101, ,1,1,0,1
247,100,102,102, ,1,1,0,1
248,100,103,103, ,1,1,0,1
249,100,104,104, ,1,1,0,1
250,100,103,103, ,1,1,1,7
251,-4,102,103,I trust you,0.005,1,1,4
252,4,103,102,I trust you,0.005,1.02,1,4
253,100,102,102, ,1,1,1,7
254,-24,103,102,spasd,0.005,1,1,6
255,24,102,103,spasd,0.005,1.12,1,6
256,100,105,105, ,1,1,0,1
257,100,106,106, ,1,1,0,1
258,100,107,107, ,1,1,0,1
259,100,107,107, ,1,1,1,7
260,100,104,104, ,1,1,1,7
261,100,105,105, ,1,1,1,7
262,-1,72,105,Thanks for killing Team Rocket!,0.005,1,1,5
263,1,105,72,Thanks for killing Team Rocket!,0.005,1.005,1,5
264,100,108,108, ,1,1,0,1
265,100,108,108, ,1,1,1,7
266,-5,98,65,For joining the course!,0.005,1,1,6
267,5,65,98,For joining the course!,0.005,1.025,1,6
268,-10,23,91,Because,0.005,1.05,1.05,5
269,10,91,23,Because,0.005,1.0525,1,5
270,-10,106,107,Test,0.005,1,1,2
271,10,107,106,Test,0.005,1.05,1,2
272,-1,85,107,test,0.005,1,1,6
273,1,107,85,test,0.005,1.005,1,6
274,100,109,109, ,1,1,0,1
275,100,110,110, ,1,1,0,1
276,100,111,111, ,1,1,0,1
277,100,111,111, ,1,1,1,7
278,-30,29,111,I am always on the look out for good gardens.,0.005,1,1,2
279,30,111,29,I am always on the look out for good gardens.,0.005,1.15,1,2
280,100,112,112, ,1,1,0,1
281,100,112,112, ,1,1,1,7
282,100,113,113, ,1,1,0,1
283,-5,65,98,5 bucks for you #GetRich,0.005,1,1,2
284,5,98,65,5 bucks for you #GetRich,0.005,1.025,1,2
285,-10,35,63,hob,0.005,1,1,6
286,10,63,35,hob,0.005,1.15,1.1,6
287,100,114,114, ,1,1,0,1
288,100,114,114, ,1,1,1,7
289,100,115,115, ,1,1,0,1
290,100,115,115, ,1,1,1,7
291,100,116,116, ,1,1,0,1
292,100,117,117, ,1,1,0,1
293,100,118,118, ,1,1,0,1
294,100,116,116, ,1,1,1,7
295,100,118,118, ,1,1,1,7
296,100,119,119, ,1,1,0,1
297,100,120,120, ,1,1,0,1
298,100,121,121, ,1,1,0,1
299,100,120,120, ,1,1,1,7
300,100,113,113, ,1,1,1,7
301,-1,112,107,Einfach so :D,0.005,1,1,2
302,1,107,112,Einfach so :D,0.005,1.005,1,2
303,100,122,122, ,1,1,0,1
304,100,123,123, ,1,1,0,1
305,100,123,123, ,1,1,1,7
306,100,122,122, ,1,1,1,7
307,-10,72,122,Good taste in TV :),0.005,1,1,6
308,10,122,72,Good taste in TV :),0.005,1.13,1.08,6
309,-1,94,123,Nice idea with the script :),0.005,1,1,6
310,1,123,94,Nice idea with the script :),0.005,1.005,1,6
